Index,GPS time,X,Y,Z,VX
0,,-3961764.259,3349010.075,3698312.592,
1,2147:193501.200,-3961764.257,3349010.074,3698312.592,
2,2147:193501.400,-3961764.257,3349010.074,3698312.592,
3,2147:193501.600,-3961764.257,3349010.074,3698312.592,
4,2147:193501.800,-3961764.257,3349010.072,3698312.593,
5,2147:193502.000,-3961764.255,3349010.072,3698312.592,
6,2147:193502.200,-3961764.258,3349010.072,3698312.592,
7,2147:193502.400,-3961764.255,3349010.072,3698312.590,
8,2147:193502.600,-3961764.256,3349010.073,3698312.590,
9,2147:193502.800,-3961764.255,3349010.073,3698312.591,
10,2147:193503.000,-3961764.254,3349010.072,3698312.592,
11,2147:193503.200,-3961764.255,3349010.072,3698312.590,
12,2147:193503.400,-3961764.256,3349010.072,3698312.590,
13,2147:193503.600,-3961764.253,3349010.072,3698312.589,
14,2147:193503.800,-3961764.254,3349010.072,3698312.589,
15,2147:193504.000,-3961764.255,3349010.075,3698312.591,
16,2147:193504.200,-3961764.255,3349010.074,3698312.590,
17,2147:193504.400,-3961764.253,3349010.073,3698312.590,
18,2147:193504.600,-3961764.253,3349010.071,3698312.591,
19,2147:193504.800,-3961764.254,3349010.072,3698312.591,
20,2147:193505.000,-3961764.254,3349010.072,3698312.590,
21,2147:193505.200,-3961764.253,3349010.071,3698312.590,
22,2147:193505.400,-3961764.257,3349010.075,3698312.590,
23,2147:193505.600,-3961764.258,3349010.075,3698312.588,
24,2147:193505.800,-3961764.257,3349010.074,3698312.589,
25,2147:193506.000,-3961764.258,3349010.074,3698312.591,
26,2147:193506.200,-3961764.258,3349010.074,3698312.592,
27,2147:193506.400,-3961764.258,3349010.072,3698312.588,
28,2147:193506.600,-3961764.273,3349010.067,3698312.577,
29,2147:193506.800,-3961764.295,3349010.057,3698312.559,
30,2147:193507.000,-3961764.331,3349010.048,3698312.538,
31,2147:193507.200,-3961764.373,3349010.033,3698312.508,
32,2147:193507.400,-3961764.421,3349010.016,3698312.470,
33,2147:193507.600,-3961764.488,3349009.992,3698312.428,
34,2147:193507.800,-3961764.552,3349009.955,3698312.378,
35,2147:193508.000,-3961764.634,3349009.920,3698312.322,
36,2147:193508.200,-3961764.742,3349009.888,3698312.258,
37,2147:193508.400,-3961764.865,3349009.826,3698312.171,
38,2147:193508.600,-3961765.038,3349009.748,3698312.062,
39,2147:193508.800,-3961765.271,3349009.639,3698311.928,
40,2147:193509.000,-3961765.545,3349009.505,3698311.755,
41,2147:193509.200,-3961765.857,3349009.348,3698311.576,
42,2147:193509.400,-3961766.193,3349009.167,3698311.383,
43,2147:193509.600,-3961766.556,3349008.979,3698311.174,
44,2147:193509.800,-3961766.940,3349008.778,3698310.964,
45,2147:193510.000,-3961767.343,3349008.563,3698310.734,
46,2147:193510.200,-3961767.759,3349008.338,3698310.486,
47,2147:193510.400,-3961768.200,3349008.097,3698310.236,
48,2147:193510.600,-3961768.659,3349007.861,3698309.972,
49,2147:193510.800,-3961769.131,3349007.610,3698309.694,
50,2147:193511.000,-3961769.609,3349007.359,3698309.414,
51,2147:193511.200,-3961770.088,3349007.109,3698309.135,
52,2147:193511.400,-3961770.560,3349006.858,3698308.864,
53,2147:193511.600,-3961771.034,3349006.599,3698308.581,
54,2147:193511.800,-3961771.513,3349006.371,3698308.314,
55,2147:193512.000,-3961771.983,3349006.128,3698308.033,
56,2147:193512.200,-3961772.440,3349005.890,3698307.760,
57,2147:193512.400,-3961772.907,3349005.655,3698307.478,
58,2147:193512.600,-3961773.365,3349005.424,3698307.204,
59,2147:193512.800,-3961773.812,3349005.189,3698306.919,
60,2147:193513.000,-3961774.251,3349004.955,3698306.635,
61,2147:193513.200,-3961774.714,3349004.768,3698306.357,
62,2147:193513.400,-3961775.168,3349004.589,3698306.066,
63,2147:193513.600,-3961775.606,3349004.387,3698305.761,
64,2147:193513.800,-3961776.038,3349004.218,3698305.454,
65,2147:193514.000,-3961776.457,3349004.077,3698305.116,
66,2147:193514.200,-3961776.860,3349003.995,3698304.775,
67,2147:193514.400,-3961777.261,3349003.948,3698304.409,
68,2147:193514.600,-3961777.638,3349003.919,3698304.032,
69,2147:193514.800,-3961777.990,3349003.914,3698303.652,
70,2147:193515.000,-3961778.334,3349003.969,3698303.261,
71,2147:193515.200,-3961778.652,3349004.040,3698302.858,
72,2147:193515.400,-3961778.945,3349004.126,3698302.465,
73,2147:193515.600,-3961779.204,3349004.240,3698302.051,
74,2147:193515.800,-3961779.426,3349004.412,3698301.676,
75,2147:193516.000,-3961779.627,3349004.594,3698301.315,
76,2147:193516.200,-3961779.790,3349004.803,3698300.955,
77,2147:193516.400,-3961779.927,3349005.027,3698300.603,
78,2147:193516.600,-3961780.049,3349005.260,3698300.245,
79,2147:193516.800,-3961780.178,3349005.496,3698299.918,
80,2147:193517.000,-3961780.273,3349005.758,3698299.599,
81,2147:193517.200,-3961780.340,3349006.001,3698299.247,
82,2147:193517.400,-3961780.398,3349006.272,3698298.951,
83,2147:193517.600,-3961780.410,3349006.538,3698298.675,
84,2147:193517.800,-3961780.422,3349006.804,3698298.411,
85,2147:193518.000,-3961780.419,3349007.058,3698298.136,
86,2147:193518.200,-3961780.410,3349007.316,3698297.905,
87,2147:193518.400,-3961780.369,3349007.583,3698297.711,
88,2147:193518.600,-3961780.319,3349007.835,3698297.535,
89,2147:193518.800,-3961780.264,3349008.090,3698297.384,
90,2147:193519.000,-3961780.219,3349008.340,3698297.241,
91,2147:193519.200,-3961780.165,3349008.537,3698297.115,
92,2147:193519.400,-3961780.111,3349008.705,3698297.007,
93,2147:193519.600,-3961780.077,3349008.828,3698296.913,
94,2147:193519.800,-3961780.064,3349008.939,3698296.859,
95,2147:193520.000,-3961780.049,3349008.978,3698296.829,
96,2147:193520.200,-3961780.050,3349008.975,3698296.835,
97,2147:193520.400,-3961780.056,3349008.969,3698296.846,
98,2147:193520.600,-3961780.054,3349008.976,3698296.840,
99,2147:193520.800,-3961780.054,3349008.975,3698296.838,
100,2147:193521.000,-3961780.050,3349008.974,3698296.839,
101,2147:193521.200,-3961780.054,3349008.975,3698296.834,
102,2147:193521.400,-3961780.053,3349008.970,3698296.836,
103,2147:193521.600,-3961780.056,3349008.964,3698296.834,
104,2147:193521.800,-3961780.059,3349008.955,3698296.843,
105,2147:193522.000,-3961780.064,3349008.927,3698296.859,
106,2147:193522.200,-3961780.070,3349008.887,3698296.889,
107,2147:193522.400,-3961780.084,3349008.841,3698296.933,
108,2147:193522.600,-3961780.106,3349008.772,3698296.972,
109,2147:193522.800,-3961780.110,3349008.700,3698297.018,
110,2147:193523.000,-3961780.122,3349008.624,3698297.081,
111,2147:193523.200,-3961780.135,3349008.531,3698297.149,
112,2147:193523.400,-3961780.144,3349008.423,3698297.212,
113,2147:193523.600,-3961780.166,3349008.318,3698297.296,
114,2147:193523.800,-3961780.178,3349008.199,3698297.385,
115,2147:193524.000,-3961780.205,3349008.080,3698297.478,
116,2147:193524.200,-3961780.209,3349007.924,3698297.594,
117,2147:193524.400,-3961780.237,3349007.792,3698297.718,
118,2147:193524.600,-3961780.246,3349007.634,3698297.843,
119,2147:193524.800,-3961780.270,3349007.481,3698297.953,
120,2147:193525.000,-3961780.311,3349007.328,3698298.082,
121,2147:193525.200,-3961780.317,3349007.159,3698298.222,
122,2147:193525.400,-3961780.337,3349007.023,3698298.328,
123,2147:193525.600,-3961780.340,3349006.866,3698298.452,
124,2147:193525.800,-3961780.347,3349006.709,3698298.569,
125,2147:193526.000,-3961780.366,3349006.573,3698298.676,
126,2147:193526.200,-3961780.384,3349006.470,3698298.776,
127,2147:193526.400,-3961780.392,3349006.340,3698298.845,
128,2147:193526.600,-3961780.405,3349006.232,3698298.929,
129,2147:193526.800,-3961780.415,3349006.135,3698299.040,
130,2147:193527.000,-3961780.415,3349006.005,3698299.142,
131,2147:193527.200,-3961780.423,3349005.881,3698299.250,
132,2147:193527.400,-3961780.431,3349005.766,3698299.368,
133,2147:193527.600,-3961780.436,3349005.620,3698299.481,
134,2147:193527.800,-3961780.452,3349005.475,3698299.602,
135,2147:193528.000,-3961780.458,3349005.329,3698299.718,
136,2147:193528.200,-3961780.475,3349005.180,3698299.825,
137,2147:193528.400,-3961780.501,3349005.036,3698299.941,
138,2147:193528.600,-3961780.521,3349004.887,3698300.056,
139,2147:193528.800,-3961780.563,3349004.745,3698300.152,
140,2147:193529.000,-3961780.591,3349004.610,3698300.250,
141,2147:193529.200,-3961780.621,3349004.489,3698300.343,
142,2147:193529.400,-3961780.651,3349004.377,3698300.424,
143,2147:193529.600,-3961780.665,3349004.255,3698300.493,
144,2147:193529.800,-3961780.699,3349004.151,3698300.571,
145,2147:193530.000,-3961780.731,3349004.043,3698300.639,
146,2147:193530.200,-3961780.768,3349003.934,3698300.684,
147,2147:193530.400,-3961780.799,3349003.827,3698300.747,
148,2147:193530.600,-3961780.838,3349003.719,3698300.795,
149,2147:193530.800,-3961780.882,3349003.612,3698300.837,
150,2147:193531.000,-3961780.925,3349003.513,3698300.884,
151,2147:193531.200,-3961780.977,3349003.413,3698300.948,
152,2147:193531.400,-3961781.015,3349003.303,3698300.976,
153,2147:193531.600,-3961781.062,3349003.202,3698301.025,
154,2147:193531.800,-3961781.108,3349003.109,3698301.047,
155,2147:193532.000,-3961781.149,3349003.011,3698301.076,
156,2147:193532.200,-3961781.203,3349002.940,3698301.115,
157,2147:193532.400,-3961781.248,3349002.852,3698301.119,
158,2147:193532.600,-3961781.283,3349002.770,3698301.141,
159,2147:193532.800,-3961781.330,3349002.699,3698301.167,
160,2147:193533.000,-3961781.362,3349002.623,3698301.188,
161,2147:193533.200,-3961781.383,3349002.579,3698301.190,
162,2147:193533.400,-3961781.387,3349002.584,3698301.190,
163,2147:193533.600,-3961781.386,3349002.600,3698301.188,
164,2147:193533.800,-3961781.392,3349002.591,3698301.185,
165,2147:193534.000,-3961781.386,3349002.592,3698301.189,
166,2147:193534.200,-3961781.386,3349002.593,3698301.187,
167,2147:193534.400,-3961781.384,3349002.598,3698301.185,
168,2147:193534.600,-3961781.374,3349002.609,3698301.189,
169,2147:193534.800,-3961781.351,3349002.641,3698301.191,
170,2147:193535.000,-3961781.320,3349002.701,3698301.183,
171,2147:193535.200,-3961781.266,3349002.763,3698301.179,
172,2147:193535.400,-3961781.211,3349002.854,3698301.181,
173,2147:193535.600,-3961781.123,3349002.944,3698301.189,
174,2147:193535.800,-3961781.034,3349003.050,3698301.210,
175,2147:193536.000,-3961780.922,3349003.154,3698301.224,
176,2147:193536.200,-3961780.798,3349003.281,3698301.236,
177,2147:193536.400,-3961780.653,3349003.396,3698301.273,
178,2147:193536.600,-3961780.500,3349003.510,3698301.323,
179,2147:193536.800,-3961780.343,3349003.632,3698301.402,
180,2147:193537.000,-3961780.166,3349003.750,3698301.475,
181,2147:193537.200,-3961779.998,3349003.876,3698301.561,
182,2147:193537.400,-3961779.795,3349003.981,3698301.648,
183,2147:193537.600,-3961779.595,3349004.093,3698301.756,
184,2147:193537.800,-3961779.396,3349004.212,3698301.865,
185,2147:193538.000,-3961779.179,3349004.307,3698301.998,
186,2147:193538.200,-3961778.969,3349004.406,3698302.131,
187,2147:193538.400,-3961778.758,3349004.504,3698302.295,
188,2147:193538.600,-3961778.541,3349004.574,3698302.447,
189,2147:193538.800,-3961778.312,3349004.640,3698302.612,
190,2147:193539.000,-3961778.088,3349004.713,3698302.792,
