Time,VE,VN,VD,V,CoG,velHeading,CoG,slip,Gyro-z,
284044.8,-0.69,0.73,-0.02,1.00448992,316.49,-43.38646107,-43.51,-0.123538933,0.702247611,
284045,-0.72,0.72,0.01,1.018233765,314.7,-45,-45.3,-0.3,0.45461852,
284045.2,-0.73,0.73,0.01,1.032375901,314.96,-45,-45.04,-0.04,0.433278893,
284045.4,-0.72,0.79,0.04,1.068877916,317.54,-42.34580449,-42.46,-0.114195513,0.389836933,
284045.6,-0.77,0.81,0.06,1.117586686,316.31,-43.54978371,-43.69,-0.140216291,0.193736027,
284045.8,-0.84,0.84,0.04,1.187939392,315.19,-45,-44.81,0.19,0.158574032,
284046,-0.83,0.88,0,1.209669376,316.74,-43.32516201,-43.26,0.065162009,0.256271337,
284046.2,-0.89,0.9,0,1.26574089,315.14,-44.67991518,-44.86,-0.180084824,0.362274964,
284046.4,-0.9,0.93,-0.03,1.294179277,315.98,-44.06080905,-44.02,0.040809054,0.05779538,
284046.6,-0.95,0.96,0.04,1.350592463,315.38,-44.70002484,-44.62,0.080024838,0.089306135,
284046.8,-0.97,0.98,-0.03,1.378876354,315.4,-44.70617807,-44.6,0.106178065,0.09601699,
284047,-0.98,0.99,0.02,1.393018306,315.33,-44.70916098,-44.67,0.039160978,0.063661454,
284047.2,-0.99,1.04,-0.01,1.43586211,316.26,-43.58905918,-43.74,-0.15094082,-0.000449209,
284047.4,-1.04,1.07,-0.04,1.492146105,316.02,-44.18542295,-43.98,0.20542295,0.121214312,
284047.6,-1.03,1.07,-0.04,1.48519359,315.95,-43.90878377,-44.05,-0.141216225,-0.177125927,
284047.8,-1.06,1.11,0.06,1.534828981,316.14,-43.68005431,-43.86,-0.179945694,-0.097789782,
284048,-1.07,1.11,-0.03,1.54175225,316.06,-43.94881925,-43.94,0.00881925,0.07313091,
284048.2,-1.07,1.13,0.01,1.556213353,316.47,-43.43777508,-43.53,-0.092224917,-0.018126036,
284048.4,-1.05,1.12,0.01,1.535219854,317.01,-43.15238973,-42.99,0.162389734,-0.043467623,
284048.6,-1.11,1.12,0.06,1.576863976,315.2,-44.74306998,-44.8,-0.056930025,0.106801938,
